x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
128.0,36.0,Production,"antimony, mine",Nil (nothing produced),,1971-01-01 00:00:00,Korea (Rep. of),,A,KR,Antimony,Normal Value,KOR,"Antimony (mine production, metal production)",tonnes (metal content),128.000000,Ores and concentrates (metal content),,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,0,,Mine production of antimony,821,-----,
142.796275,43.46076,Production,"antimony, mine",,,1971-01-01 00:00:00,Japan,,A,JP,Antimony,Normal value,JPN,"Antimony (mine production, metal production)",tonnes (metal content),142.796275,Ores and concentrates (metal content),,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,3,,Mine production of antimony,821,3,
-90.736761,15.240898,Production,"antimony, mine",,,1971-01-01 00:00:00,Guatemala,,A,GT,Antimony,Normal value,GTM,"Antimony (mine production, metal production)",tonnes (metal content),-90.736761,Ores and concentrates (metal content),,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,885,,Mine production of antimony,821,885,
79.282538,22.642556,Production,"antimony, mine",,,1971-01-01 00:00:00,India,,A,IN,Antimony,Normal value,IND,"Antimony (mine production, metal production)",tonnes (metal content),79.282538,Ores and concentrates (metal content),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,605,,Mine production of antimony,821,605,
109.537431,32.216659,Production,"antimony, mine",,Estimates.,1971-01-01 00:00:00,China,,A,CN,Antimony,Normal value,CHN,"Antimony (mine production, metal production)",tonnes (metal content),109.537431,Ores and concentrates (metal content),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,12000,,Mine production of antimony,821,12000,*
-86.625162,14.818427999999999,Production,"antimony, mine",,,1971-01-01 00:00:00,Honduras,,A,HN,Antimony,Normal value,HND,"Antimony (mine production, metal production)",tonnes (metal content),-86.625162,Ores and concentrates (metal content),,14.818428,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,13,,Mine production of antimony,821,13,
-97.834383,39.139831,Production,"antimony, mine",,,1971-01-01 00:00:00,USA,,A,US,Antimony,Normal value,USA,"Antimony (mine production, metal production)",tonnes (metal content),-97.834383,Ores and concentrates (metal content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1681,,Mine production of antimony,821,1681,
100.982474,15.485660999999999,Production,"antimony, mine",,,1971-01-01 00:00:00,Thailand,,A,TH,Antimony,Normal value,THA,"Antimony (mine production, metal production)",tonnes (metal content),100.982474,Ores and concentrates (metal content),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,2833,,Mine production of antimony,821,2833,
10.612941,45.366552,Production,"antimony, mine",,,1971-01-01 00:00:00,Italy,,A,IT,Antimony,Normal value,ITA,"Antimony (mine production, metal production)",tonnes (metal content),10.612941,Ores and concentrates (metal content),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1175,,Mine production of antimony,821,1175,
14.130671999999999,47.585656,Production,"antimony, mine",,,1971-01-01 00:00:00,Austria,,A,AT,Antimony,Normal value,AUT,"Antimony (mine production, metal production)",tonnes (metal content),14.130672,Ores and concentrates (metal content),,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,467,,Mine production of antimony,821,467,
14.130671999999999,47.585656,Production,"antimony, mine",,,1972-01-01 00:00:00,Austria,,A,AT,Antimony,Normal value,AUT,"Antimony (mine production, metal production)",tonnes (metal content),14.130672,Ores and concentrates (metal content),,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,535,,Mine production of antimony,821,535,
-86.625162,14.818427999999999,Production,"antimony, mine",,,1972-01-01 00:00:00,Honduras,,A,HN,Antimony,Normal value,HND,"Antimony (mine production, metal production)",tonnes (metal content),-86.625162,Ores and concentrates (metal content),,14.818428,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,30,,Mine production of antimony,821,30,
-90.736761,15.240898,Production,"antimony, mine",,,1972-01-01 00:00:00,Guatemala,,A,GT,Antimony,Normal value,GTM,"Antimony (mine production, metal production)",tonnes (metal content),-90.736761,Ores and concentrates (metal content),,15.240898,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,900,,Mine production of antimony,821,900,
79.282538,22.642556,Production,"antimony, mine",,,1972-01-01 00:00:00,India,,A,IN,Antimony,Normal value,IND,"Antimony (mine production, metal production)",tonnes (metal content),79.282538,Ores and concentrates (metal content),,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,894,,Mine production of antimony,821,894,
10.612941,45.366552,Production,"antimony, mine",,,1972-01-01 00:00:00,Italy,,A,IT,Antimony,Normal value,ITA,"Antimony (mine production, metal production)",tonnes (metal content),10.612941,Ores and concentrates (metal content),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,1201,,Mine production of antimony,821,1201,
100.982474,15.485660999999999,Production,"antimony, mine",,,1972-01-01 00:00:00,Thailand,,A,TH,Antimony,Normal value,THA,"Antimony (mine production, metal production)",tonnes (metal content),100.982474,Ores and concentrates (metal content),,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,5865,,Mine production of antimony,821,5865,
-97.834383,39.139831,Production,"antimony, mine",,,1972-01-01 00:00:00,USA,,A,US,Antimony,Normal value,USA,"Antimony (mine production, metal production)",tonnes (metal content),-97.834383,Ores and concentrates (metal content),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,444,,Mine production of antimony,821,444,
109.537431,32.216659,Production,"antimony, mine",,Estimates.,1972-01-01 00:00:00,China,,A,CN,Antimony,Normal value,CHN,"Antimony (mine production, metal production)",tonnes (metal content),109.537431,Ores and concentrates (metal content),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,12000,,Mine production of antimony,821,12000,*
96.111983,21.798486,Production,"antimony, mine",,,1972-01-01 00:00:00,Myanmar,,A,MM,Antimony,Normal value,MMR,"Antimony (mine production, metal production)",tonnes (metal content),96.111983,Ores and concentrates (metal content),,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,131,,Mine production of antimony,821,131,
