x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,year,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
23.625456999999997,-2.883451,Production,manganese ore,,,1971-01-01 00:00:00,Zaire,,A,ZR,Manganese,Normal value,ZAR,Manganese ore (gross weight),tonnes (metric),23.625457,Ores and concentrates (gross weight),,-2.883451,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,329066,,Production of manganese ore,898,329066,
33.526313,39.351717,Production,manganese ore,,,1971-01-01 00:00:00,Turkey,,A,TR,Manganese,Normal value,TUR,Manganese ore (gross weight),tonnes (metric),33.526313,Ores and concentrates (gross weight),,39.351717,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,13942,,Production of manganese ore,898,13942,
114.218582,-0.9663149999999999,Production,manganese ore,,,1971-01-01 00:00:00,Indonesia,,A,ID,Manganese,Normal value,IDN,Manganese ore (gross weight),tonnes (metric),114.218582,Ores and concentrates (gross weight),,-0.966315,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,12000,,Production of manganese ore,898,12000,
14.4166,50.083332999999996,Production,manganese ore,,,1971-01-01 00:00:00,Czechoslovakia,,A,CS,Manganese,Normal value,CSK,Manganese ore (gross weight),tonnes (metric),14.416600,Ores and concentrates (gross weight),,50.083333,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,48000,,Production of manganese ore,898,48000,
-69.73191899999999,-26.162882999999997,Production,manganese ore,,,1971-01-01 00:00:00,Chile,,A,CL,Manganese,Normal value,CHL,Manganese ore (gross weight),tonnes (metric),-69.731919,Ores and concentrates (gross weight),,-26.162883,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,23838,,Production of manganese ore,898,23838,
22.009674999999998,39.740648,Production,manganese ore,,,1971-01-01 00:00:00,Greece,,A,GR,Manganese,Normal value,GRC,Manganese ore (gross weight),tonnes (metric),22.009675,Ores and concentrates (gross weight),,39.740648,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,6127,,Production of manganese ore,898,6127,
28.915516,26.221542,Production,manganese ore,,,1971-01-01 00:00:00,Egypt,,A,EG,Manganese,Normal value,EGY,Manganese ore (gross weight),tonnes (metric),28.915516,Ores and concentrates (gross weight),,26.221542,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,4278,,Production of manganese ore,898,4278,
10.612941,45.366552,Production,manganese ore,,,1971-01-01 00:00:00,Italy,,A,IT,Manganese,Normal value,ITA,Manganese ore (gross weight),tonnes (metric),10.612941,Ores and concentrates (gross weight),,45.366552,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,30604,,Production of manganese ore,898,30604,
-6.587161,31.846552,Production,manganese ore,,,1971-01-01 00:00:00,Morocco,,A,MA,Manganese,Normal value,MAR,Manganese ore (gross weight),tonnes (metric),-6.587161,Ores and concentrates (gross weight),,31.846552,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,101456,,Production of manganese ore,898,101456,
23.963964999999998,-21.767426,Production,manganese ore,,,1971-01-01 00:00:00,Botswana,,A,BW,Manganese,Normal value,BWA,Manganese ore (gross weight),tonnes (metric),23.963965,Ores and concentrates (gross weight),,-21.767426,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,34348,,Production of manganese ore,898,34348,
82.51,55.51,Production,manganese ore,,,1971-01-01 00:00:00,Soviet Union,,A,SU,Manganese,Normal value,SUN,Manganese ore (gross weight),tonnes (metric),82.510000,Ores and concentrates (gross weight),,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,7319000,,Production of manganese ore,898,7319000,
177.97519799999998,-17.824134,Production,manganese ore,,,1971-01-01 00:00:00,Fiji,,A,FJ,Manganese,Normal value,FJI,Manganese ore (gross weight),tonnes (metric),177.975198,Ores and concentrates (gross weight),,-17.824134,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,7657,,Production of manganese ore,898,7657,
142.796275,43.46076,Production,manganese ore,,,1971-01-01 00:00:00,Japan,,A,JP,Manganese,Normal value,JPN,Manganese ore (gross weight),tonnes (metric),142.796275,Ores and concentrates (gross weight),,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,285005,,Production of manganese ore,898,285005,
12.322706,-0.309716,Production,manganese ore,,,1971-01-01 00:00:00,Gabon,,A,GA,Manganese,Normal value,GAB,Manganese ore (gross weight),tonnes (metric),12.322706,Ores and concentrates (gross weight),,-0.309716,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1866479,,Production of manganese ore,898,1866479,
20.335869,47.155288,Production,manganese ore,,,1971-01-01 00:00:00,Hungary,,A,HU,Manganese,Normal value,HUN,Manganese ore (gross weight),tonnes (metric),20.335869,Ores and concentrates (gross weight),,47.155288,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,167000,,Production of manganese ore,898,167000,
-97.834383,39.139831,Production,manganese ore,,Shipments of manganiferous iron ore only.,1971-01-01 00:00:00,USA,,A,US,Manganese,Normal value,USA,Manganese ore (gross weight),tonnes (metric),-97.834383,Ores and concentrates (gross weight),,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,179926,,Production of manganese ore,898,179926,h
20.45,44.816666999999995,Production,manganese ore,,,1971-01-01 00:00:00,Yugoslavia,,A,YU,Manganese,Normal value,YUG,Manganese ore (gross weight),tonnes (metric),20.450000,Ores and concentrates (gross weight),,44.816667,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,16113,,Production of manganese ore,898,16113,
109.537431,32.216659,Production,manganese ore,,Estimates.,1971-01-01 00:00:00,China,,A,CN,Manganese,Normal value,CHN,Manganese ore (gross weight),tonnes (metric),109.537431,Ores and concentrates (gross weight),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1000000,,Production of manganese ore,898,1000000,*
23.214465999999998,-30.457874999999998,Production,manganese ore,,"Includes metallurgical, chemical and ferruginous ores.",1971-01-01 00:00:00,South Africa,,A,ZA,Manganese,Normal value,ZAF,Manganese ore (gross weight),tonnes (metric),23.214466,Ores and concentrates (gross weight),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,3418173,,Production of manganese ore,898,3418173,k
20.335869,47.155288,Production,manganese ore,,,1972-01-01 00:00:00,Hungary,,A,HU,Manganese,Normal value,HUN,Manganese ore (gross weight),tonnes (metric),20.335869,Ores and concentrates (gross weight),,47.155288,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,155000,,Production of manganese ore,898,155000,
23.214465999999998,-30.457874999999998,Production,manganese ore,,"Includes metallurgical, chemical and ferruginous ores.",1972-01-01 00:00:00,South Africa,,A,ZA,Manganese,Normal value,ZAF,Manganese ore (gross weight),tonnes (metric),23.214466,Ores and concentrates (gross weight),,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,3373160,,Production of manganese ore,898,3373160,k
109.537431,32.216659,Production,manganese ore,,Estimates.,1972-01-01 00:00:00,China,,A,CN,Manganese,Normal value,CHN,Manganese ore (gross weight),tonnes (metric),109.537431,Ores and concentrates (gross weight),,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/manganese-ore,90,1000000,,Production of manganese ore,898,1000000,*
