x,y,country_trans,bgs_sub_commodity_trans,sdmx_code,yearbook_table_trans,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,quantity,concat_table_notes_text,year,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1984-01-01 00:00:00,882,5,,Production,germanium metal,,
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1985-01-01 00:00:00,882,5,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1985-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1985-01-01 00:00:00,882,22,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,10,,1985-01-01 00:00:00,882,10,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1985-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,9,,1986-01-01 00:00:00,882,9,,Production,germanium metal,,
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1986-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,22,,1986-01-01 00:00:00,882,22,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1986-01-01 00:00:00,882,6,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1986-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
14.130671999999999,47.585656,Austria,,A,Production of germanium metal,AT,Germanium,Normal value,AUT,Germanium metal,tonnes (metric),14.130672,,,162,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,7,,1987-01-01 00:00:00,882,7,,Production,germanium metal,,
109.537431,32.216659,China,,A,Production of germanium metal,CN,Germanium,Normal value,CHN,Germanium metal,tonnes (metric),109.537431,,,162,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,6,,1987-01-01 00:00:00,882,6,*,Production,germanium metal,,Estimates.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,11,,1987-01-01 00:00:00,882,11,*,Production,germanium metal,,Estimates.
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,25,,1987-01-01 00:00:00,882,25,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
142.796275,43.46076,Japan,,A,Production of germanium metal,JP,Germanium,Normal value,JPN,Germanium metal,tonnes (metric),142.796275,,,162,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,5,,1987-01-01 00:00:00,882,5,,Production,germanium metal,,
-97.834383,39.139831,USA,,A,Production of germanium metal,US,Germanium,Normal value,USA,Germanium metal,tonnes (metric),-97.834383,,,162,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,21,,1988-01-01 00:00:00,882,21,*|a,Production,germanium metal,,Estimates.|Including production of secondary metal.
82.51,55.51,Soviet Union,,A,Production of germanium metal,SU,Germanium,Normal value,SUN,Germanium metal,tonnes (metric),82.510000,,,162,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/germanium,12,,1988-01-01 00:00:00,882,12,*,Production,germanium metal,,Estimates.
