x,y,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text
128.0,36.0,Korea (Rep. of),,A,KR,Gallium,Normal value,KOR,Gallium,tonnes (metric),128.000000,,,2012-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,7,,Production of primary gallium,20242,7,*|a,Production,"gallium, primary",,Estimates.|Primary production only.
128.0,36.0,Korea (Rep. of),,A,KR,Gallium,Normal value,KOR,Gallium,tonnes (metric),128.000000,,,2013-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,2,,Production of primary gallium,20242,2,*|a,Production,"gallium, primary",,Estimates.|Primary production only.
94.13658799999999,63.462201,Russia,,A,RU,Gallium,Normal value,RUS,Gallium,tonnes (metric),94.136588,,,2013-01-01 00:00:00,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,,Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
31.971487999999997,49.685680999999995,Ukraine,,A,UA,Gallium,Normal value,UKR,Gallium,tonnes (metric),31.971488,,,2013-01-01 00:00:00,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,,Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
9.669879,51.08851,Germany,,A,DE,Gallium,Normal value,DEU,Gallium,tonnes (metric),9.669879,,,2013-01-01 00:00:00,51.088510,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,38,,Production of primary gallium,20242,38,,Production,"gallium, primary",,
142.796275,43.46076,Japan,,A,JP,Gallium,Normal value,JPN,Gallium,tonnes (metric),142.796275,,,2013-01-01 00:00:00,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,8,,Production of primary gallium,20242,8,,Production,"gallium, primary",,
109.537431,32.216659,China,,A,CN,Gallium,Normal value,CHN,Gallium,tonnes (metric),109.537431,,,2013-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,300,,Production of primary gallium,20242,300,*,Production,"gallium, primary",,Estimates.
109.537431,32.216659,China,,A,CN,Gallium,Normal value,CHN,Gallium,tonnes (metric),109.537431,,1|2|3|4,2014-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,300,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,300,*,Production,"gallium, primary",,Estimates.
128.0,36.0,Korea (Rep. of),,A,KR,Gallium,Normal value,KOR,Gallium,tonnes (metric),128.000000,,1|2|3|4,2014-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,1,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,1,*|a,Production,"gallium, primary",,Estimates.|Primary production only.
94.13658799999999,63.462201,Russia,,A,RU,Gallium,Normal value,RUS,Gallium,tonnes (metric),94.136588,,1|2|3|4,2014-01-01 00:00:00,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
142.796275,43.46076,Japan,,A,JP,Gallium,Normal value,JPN,Gallium,tonnes (metric),142.796275,,1|2|3|4,2014-01-01 00:00:00,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,8,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,8,,Production,"gallium, primary",,
9.669879,51.08851,Germany,,A,DE,Gallium,Normal value,DEU,Gallium,tonnes (metric),9.669879,,1|2|3|4,2014-01-01 00:00:00,51.088510,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,16,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,16,,Production,"gallium, primary",,
31.971487999999997,49.685680999999995,Ukraine,,A,UA,Gallium,Normal value,UKR,Gallium,tonnes (metric),31.971488,,1|2|3|4,2014-01-01 00:00:00,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|In addition to the countries listed, the Republic of Korea and Ukraine may produce primary gallium.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
142.796275,43.46076,Japan,,A,JP,Gallium,Normal value,JPN,Gallium,tonnes (metric),142.796275,,1|2|3,2015-01-01 00:00:00,43.460760,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,6,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,6,,Production,"gallium, primary",,
31.971487999999997,49.685680999999995,Ukraine,,A,UA,Gallium,Normal value,UKR,Gallium,tonnes (metric),31.971488,,1|2|3,2015-01-01 00:00:00,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,9,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,9,*,Production,"gallium, primary",,Estimates.
9.669879,51.08851,Germany,,A,DE,Gallium,Normal value,DEU,Gallium,tonnes (metric),9.669879,,1|2|3,2015-01-01 00:00:00,51.088510,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,11,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,11,,Production,"gallium, primary",,
109.537431,32.216659,China,,A,CN,Gallium,Normal value,CHN,Gallium,tonnes (metric),109.537431,,1|2|3,2015-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,284,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,284,,Production,"gallium, primary",,
94.13658799999999,63.462201,Russia,,A,RU,Gallium,Normal value,RUS,Gallium,tonnes (metric),94.136588,,1|2|3,2015-01-01 00:00:00,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
128.0,36.0,Korea (Rep. of),,A,KR,Gallium,Normal value,KOR,Gallium,tonnes (metric),128.000000,,1|2|3,2015-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,3,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,3,*|a,Production,"gallium, primary",,Estimates.|Primary production only.
128.0,36.0,Korea (Rep. of),,A,KR,Gallium,Normal value,KOR,Gallium,tonnes (metric),128.000000,,1|2|3,2016-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,3,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,3,*|a,Production,"gallium, primary",,Estimates.|Primary production only.
94.13658799999999,63.462201,Russia,,A,RU,Gallium,Normal value,RUS,Gallium,tonnes (metric),94.136588,,1|2|3,2016-01-01 00:00:00,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/gallium,737,13,"Accurate data for gallium is difficult to obtain because it is produced only as a by-product of bauxite or zinc processing using proprietary techniques. As a consequence, this table may not be complete.|In addition to the above primary production, there is also believed to be significant production of refined gallium from scrap recycling.|Lower grade production is often subsequently refined to higher grade material which complicates the collection of data as double counting is a significant risk.",Production of primary gallium,20242,13,*,Production,"gallium, primary",,Estimates.
