x,y,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation
23.214465999999998,-30.457874999999998,ZAF,Graphite,tonnes (metric),23.214466,,,1972-01-01 00:00:00,-30.457875,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,847,,Production of graphite,652,847,,Production,graphite,,,South Africa,,A,ZA,Graphite,Normal value
109.537431,32.216659,CHN,Graphite,tonnes (metric),109.537431,,,1972-01-01 00:00:00,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,30000,,Production of graphite,652,30000,*,Production,graphite,,Estimates.,China,,A,CN,Graphite,Normal value
128.0,36.0,KOR,Graphite,tonnes (metric),128.000000,,,1972-01-01 00:00:00,36.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,40758,,Production of graphite,652,40758,,Production,graphite,,,Korea (Rep. of),,A,KR,Graphite,Normal value
96.111983,21.798486,MMR,Graphite,tonnes (metric),96.111983,,,1972-01-01 00:00:00,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,91,,Production of graphite,652,91,,Production,graphite,,,Myanmar,,A,MM,Graphite,Normal value
127.0,40.0,PRK,Graphite,tonnes (metric),127.000000,,,1972-01-01 00:00:00,40.000000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,75000,,Production of graphite,652,75000,*,Production,graphite,,Estimates.,"Korea, Dem. P.R. of",,A,KP,Graphite,Normal value
-49.028009999999995,-12.408957,BRA,Graphite,tonnes (metric),-49.028010,,,1972-01-01 00:00:00,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,27347,,Production of graphite,652,27347,a,Production,graphite,,Crude.,Brazil,,A,BR,Graphite,Normal value
7.1000000000000005,50.733332999999995,DEU,Graphite,tonnes (metric),7.100000,,,1972-01-01 00:00:00,50.733333,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,11348,,Production of graphite,652,11348,g,Production,graphite,,Including production from imported crude graphite.,German Federal Republic,,A,DE,Graphite,Normal value
14.130671999999999,47.585656,AUT,Graphite,tonnes (metric),14.130672,,,1972-01-01 00:00:00,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,18772,,Production of graphite,652,18772,a,Production,graphite,,Crude.,Austria,,A,AT,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1972-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,55110,,Production of graphite,652,55110,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
80.793549,7.020493,LKA,Graphite,tonnes (metric),80.793549,,,1972-01-01 00:00:00,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,7141,,Production of graphite,652,7141,,Production,graphite,,,Sri Lanka,,A,LK,Graphite,Normal value
