mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,251,FRA,France,M,Import,260400,Nickel ores and concentrates,15801.66,800.0,0.0,800.0,kg,15801.66,
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,276,DEU,Germany,M,Import,260400,Nickel ores and concentrates,62994.71,3000.0,0.0,3000.0,kg,62994.71,
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,528,NLD,Netherlands,M,Import,260400,Nickel ores and concentrates,2608241.485,126049.0,0.0,126049.0,kg,2608241.485,
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,842,USA,USA,M,Import,260400,Nickel ores and concentrates,3549.102,1.0,0.0,1.0,kg,3549.102,
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,0,W00,World,X,Export,260400,Nickel ores and concentrates,31990.543,40030.0,0.0,40030.0,kg,,31990.543
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,620,PRT,Portugal,X,Export,260400,Nickel ores and concentrates,628.65,30.0,0.0,30.0,kg,,628.65
nickel,primary,260400,Nickel ores and concentrates,2023,724,ESP,Spain,764,THA,Thailand,X,Export,260400,Nickel ores and concentrates,31361.894,40000.0,0.0,40000.0,kg,,31361.894
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,0,W00,World,M,Import,260400,Nickel ores and concentrates,1130.991,,0.0,0.0,N/A,1130.991,
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,124,CAN,Canada,M,Import,260400,Nickel ores and concentrates,94.249,,0.0,0.0,N/A,94.249,
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,842,USA,USA,M,Import,260400,Nickel ores and concentrates,1036.742,,0.0,0.0,N/A,1036.742,
nickel,primary,260400,Nickel ores and concentrates,2023,757,CHE,Switzerland,0,W00,World,M,Import,260400,Nickel ores and concentrates,267.015,2.945,0.0,2.945,kg,267.015,
nickel,primary,260400,Nickel ores and concentrates,2023,757,CHE,Switzerland,528,NLD,Netherlands,M,Import,260400,Nickel ores and concentrates,181.348,2.0,0.0,2.0,kg,181.348,
nickel,primary,260400,Nickel ores and concentrates,2023,757,CHE,Switzerland,784,ARE,United Arab Emirates,M,Import,260400,Nickel ores and concentrates,85.667,0.945,0.0,0.945,kg,85.667,
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,0,W00,World,M,Import,260400,Nickel ores and concentrates,62789.246,37175.0,0.0,37175.0,kg,62789.246,
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,56,BEL,Belgium,M,Import,260400,Nickel ores and concentrates,6245.846,100.0,0.0,100.0,kg,6245.846,
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,490,S19,"Other Asia, nes",M,Import,260400,Nickel ores and concentrates,45600.003,2000.0,0.0,2000.0,kg,45600.003,
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,784,ARE,United Arab Emirates,M,Import,260400,Nickel ores and concentrates,10943.397,35075.0,0.0,35075.0,kg,10943.397,
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,0,W00,World,M,Import,260400,Nickel ores and concentrates,6449.301,,0.0,0.0,N/A,6449.301,
nickel,primary,260400,Nickel ores and concentrates,2023,784,ARE,United Arab Emirates,842,USA,USA,M,Import,260400,Nickel ores and concentrates,6449.301,,0.0,0.0,N/A,6449.301,
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,0,W00,World,X,Export,260400,Nickel ores and concentrates,16776.37,1005.65,0.0,1005.65,kg,,16776.37
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,124,CAN,Canada,X,Export,260400,Nickel ores and concentrates,94.249,5.65,0.0,5.65,kg,,94.249
nickel,primary,260400,Nickel ores and concentrates,2023,752,SWE,Sweden,842,USA,USA,X,Export,260400,Nickel ores and concentrates,16682.121,1000.0,0.0,1000.0,kg,,16682.121
nickel,primary,260400,Nickel ores and concentrates,2023,757,CHE,Switzerland,0,W00,World,X,Export,260400,Nickel ores and concentrates,448.363,6.0,0.0,6.0,kg,,448.363
nickel,primary,260400,Nickel ores and concentrates,2023,757,CHE,Switzerland,348,HUN,Hungary,X,Export,260400,Nickel ores and concentrates,448.363,6.0,0.0,6.0,kg,,448.363
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,0,W00,World,X,Export,260400,Nickel ores and concentrates,487659.54,589605.0,0.0,589605.0,kg,,487659.54
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,344,HKG,"China, Hong Kong SAR",X,Export,260400,Nickel ores and concentrates,10.858,5.0,0.0,5.0,kg,,10.858
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,392,JPN,Japan,X,Export,260400,Nickel ores and concentrates,193973.11,89265.0,0.0,89265.0,kg,,193973.11
nickel,primary,260400,Nickel ores and concentrates,2023,764,THA,Thailand,702,SGP,Singapore,X,Export,260400,Nickel ores and concentrates,293675.572,500335.0,0.0,500335.0,kg,,293675.572
