x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-Si-manganese & silico-speigeleisen,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,2232,,Production of ferro-alloys,881,2232,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Silicon metal,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,21700,,Production of ferro-alloys,878,21700,
2.452177,46.620563,Production,ferro-alloys,,,France,Ferro-chrome & ferro-silico-chrome,A,FR,,Normal value,FRA,,tonnes (metric),2.452177,,,1971-01-01 00:00:00,46.620563,,74,143424,,Production of ferro-alloys,862,143424,
132.72135600000001,-23.137734,Production,ferro-alloys,,Years ended 30 November of that stated.,Australia,Ferro-manganese,A,AU,,Normal value,AUS,,tonnes (metric),132.721356,,,1971-01-01 00:00:00,-23.137734,,74,38852,,Production of ferro-alloys,863,38852,s
82.51,55.51,Production,ferro-alloys,,,Soviet Union,Spiegeleisen,A,SU,,Normal value,SUN,,tonnes (metric),82.510000,,,1971-01-01 00:00:00,55.510000,,74,124000,,Production of ferro-alloys,879,124000,
-119.677633,59.205383999999995,Production,ferro-alloys,,Factory shipments.,Canada,Ferro-alloys,A,CA,,Normal value,CAN,,tonnes (metric),-119.677633,,,1971-01-01 00:00:00,59.205384,,74,192958,,Production of ferro-alloys,859,192958,z
-3.0,55.0,Production,ferro-alloys,,,United Kingdom,Spiegeleisen,A,GB,,Normal value,GBR,,tonnes (metric),-3.000000,,,1971-01-01 00:00:00,55.000000,,74,18000,,Production of ferro-alloys,879,18000,
-101.933344,23.629557,Production,ferro-alloys,,,Mexico,Ferro-silicon,A,MX,,Normal value,MEX,,tonnes (metric),-101.933344,,,1971-01-01 00:00:00,23.629557,,74,10924,,Production of ferro-alloys,872,10924,
-69.73191899999999,-26.162882999999997,Production,ferro-alloys,,,Chile,Ferro-molybdenum,A,CL,,Normal value,CHL,,tonnes (metric),-69.731919,,,1971-01-01 00:00:00,-26.162883,,74,905,,Production of ferro-alloys,864,905,
14.4166,50.083332999999996,Production,ferro-alloys,,,Czechoslovakia,Ferro-alloys,A,CS,,Normal value,CSK,,tonnes (metric),14.416600,,,1971-01-01 00:00:00,50.083333,,74,141000,,Production of ferro-alloys,859,141000,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Other ferro-alloys,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,95000,,Production of ferro-alloys,877,95000,
132.72135600000001,-23.137734,Production,ferro-alloys,,Years ended 30 November of that stated.,Australia,Ferro-silicon,A,AU,,Normal value,AUS,,tonnes (metric),132.721356,,,1971-01-01 00:00:00,-23.137734,,74,9960,,Production of ferro-alloys,872,9960,s
20.45,44.816666999999995,Production,ferro-alloys,,,Yugoslavia,Ferro-alloys,A,YU,,Normal value,YUG,,tonnes (metric),20.450000,,,1971-01-01 00:00:00,44.816667,,74,115712,,Production of ferro-alloys,859,115712,
132.72135600000001,-23.137734,Production,ferro-alloys,,Years ended 30 November of that stated.|60% Mn.,Australia,Ferro-silico-manganese,A,AU,,Normal value,AUS,,tonnes (metric),132.721356,,,1971-01-01 00:00:00,-23.137734,,74,21316,,Production of ferro-alloys,871,21316,s|v
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-silico-chrome,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,475,,Production of ferro-alloys,869,475,
18.043765,65.542091,Production,ferro-alloys,,,Sweden,Ferro-silico-manganese,A,SE,,Normal value,SWE,,tonnes (metric),18.043765,,,1971-01-01 00:00:00,65.542091,,74,41143,,Production of ferro-alloys,871,41143,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Spiegeleisen,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,4553,,Production of ferro-alloys,879,4553,
-8.263145999999999,39.866841,Production,ferro-alloys,,,Portugal,Ferro-manganese,A,PT,,Normal value,PRT,,tonnes (metric),-8.263146,,,1971-01-01 00:00:00,39.866841,,74,200,,Production of ferro-alloys,863,200,
-3.562909,40.389544,Production,ferro-alloys,,,Spain,Ferro-silicon,A,ES,,Normal value,ESP,,tonnes (metric),-3.562909,,,1971-01-01 00:00:00,40.389544,,74,34090,,Production of ferro-alloys,872,34090,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-silicon,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,13377,,Production of ferro-alloys,872,13377,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-vanadium,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,218,,Production of ferro-alloys,876,218,
14.130671999999999,47.585656,Production,ferro-alloys,,,Austria,Ferro-alloys,A,AT,,Normal value,AUT,,tonnes (metric),14.130672,,,1971-01-01 00:00:00,47.585656,,74,5300,,Production of ferro-alloys,859,5300,
